gem	sole_impact	reach_impact	failure_type	achievability	transitive_loadbearing
bitset	2	3	c-extension	native	0
rubyfish	2	3	other	compiler	0
osaka	2	2	other	compiler	0
ftpd	2	2	analyze-failed	compiler	0
phony	2	7	analyze-failed	compiler	0
yoyoyo	2	2	no-entrypoint	compiler	0
crc	2	2	analyze-timeout	compiler	0
ruby-libvirt	2	3	c-extension	native	0
google_hash	2	2	no-entrypoint	compiler	0
distribution	2	2	analyze-failed	compiler	0
ember-source	2	5	no-entrypoint	compiler	0
ruby-oci8	2	6	c-extension	native	0
unicode-categories	2	3	no-entrypoint	compiler	0
bankscrap	2	3	analyze-failed	compiler	0
fullname-parser	2	2	no-entrypoint	compiler	0
optionable	2	4	other	compiler	0
rotp	2	7	other	compiler	0
rubysdl	2	5	analyze-failed	compiler	0
cgi	2	6	c-extension	native	0
smaak	2	2	analyze-failed	compiler	0
wiringpi	2	3	c-extension	native	0
