gem	sole_impact	reach_impact	failure_type	achievability	transitive_loadbearing
bcat	1	2	analyze-failed	compiler	0
ruby-openid-apps-discovery	1	4	analyze-failed	compiler	0
nyaplot	1	1	analyze-failed	compiler	0
backbone-rails	1	1	other	compiler	0
keepass-password-generator	1	1	other	compiler	0
ruby2c	1	1	analyze-failed	compiler	0
bioinform	1	2	analyze-failed	compiler	0
rumoji	1	2	other	compiler	0
wapiti	1	2	c-extension	native	0
jls-grok	1	1	analyze-failed	compiler	0
locomotivecms-liquid	1	1	analyze-failed	compiler	0
sys-host	1	1	no-entrypoint	compiler	0
erlectricity	1	3	c-extension	native	0
quick_magick	1	2	analyze-failed	compiler	0
todonotes	1	1	analyze-failed	compiler	0
io-extra	1	1	c-extension	native	0
casperjs	1	2	no-entrypoint	compiler	0
hintable_levenshtein	1	1	analyze-failed	compiler	0
less-js-source	1	1	no-entrypoint	compiler	0
leveldb	1	1	c-extension	native	0
openfeature-sdk	1	1	no-entrypoint	compiler	0
accessory	1	1	analyze-failed	compiler	0
executable	1	1	analyze-failed	compiler	0
motion-objc-runtime-bundler-fix	1	1	analyze-failed	compiler	0
erb	1	2	c-extension	native	8241
ruby-binlog	1	1	no-entrypoint	compiler	0
rcapture	1	1	no-entrypoint	compiler	0
color_echo	1	2	analyze-failed	compiler	0
semver2	1	6	analyze-failed	compiler	872
kaltura-ruby-client	1	1	analyze-failed	compiler	0
enum	1	1	analyze-failed	compiler	0
private_pub	1	1	analyze-failed	compiler	0
global_convert	1	1	analyze-failed	compiler	0
ed25519	1	6	c-extension	native	0
cape	1	1	analyze-failed	compiler	0
onnx-ruby	1	1	c-extension	native	0
ya_gpio	1	1	analyze-failed	compiler	0
pixel_pi	1	1	c-extension	native	0
on	1	1	other	compiler	0
kgio	1	9	c-extension	native	0
terminal_rb	1	1	analyze-failed	compiler	0
rgeo-geojson	1	4	analyze-failed	compiler	0
infoboxer	1	1	analyze-failed	compiler	0
structx	1	1	analyze-failed	compiler	0
stanford-core-nlp	1	1	analyze-failed	compiler	0
callable	1	2	analyze-failed	compiler	0
domain	1	1	analyze-failed	compiler	0
brnumeros	1	1	analyze-failed	compiler	0
zeroc-ice	1	1	no-entrypoint	compiler	0
ezcrypto	1	3	analyze-failed	compiler	0
mugatu	1	1	analyze-failed	compiler	0
mousevc	1	1	analyze-failed	compiler	0
json_rpc_handler	1	1	other	compiler	0
ios-devices	1	1	no-entrypoint	compiler	0
google_authenticator_auth	1	1	analyze-failed	compiler	0
mixpanel_client	1	1	other	compiler	0
gtk4	1	1	c-extension	native	0
versions.rb	1	1	analyze-failed	compiler	0
credit_card_validator	1	1	analyze-failed	compiler	0
mediawiki-gateway	1	1	analyze-failed	compiler	0
video_info	1	1	analyze-failed	compiler	0
hosts	1	2	analyze-failed	compiler	0
hookworm-base	1	1	analyze-failed	compiler	0
nested_scaffold	1	1	no-entrypoint	compiler	0
